"","zSensr","defl"
"152",4.7180055418039e-09,5.02506614097342e-09
"153",4.71789185496618e-09,5.00970642747234e-09
"154",4.7177213247096e-09,5.05602004707839e-09
"155",4.71755079445302e-09,5.07039654706887e-09
"156",4.71738026419644e-09,5.09268716086808e-09
"157",4.71720973393985e-09,5.09568387485615e-09
"158",4.71698236026441e-09,5.052648077708e-09
"159",4.71681183000783e-09,5.08837860735412e-09
"160",4.71658445633238e-09,5.03639885351959e-09
"161",4.71635708265694e-09,5.01054930879263e-09
"162",4.71618655240036e-09,4.99439334333829e-09
"163",4.71595917872492e-09,4.98076602184483e-09
"164",4.71567496163061e-09,5.01335906122335e-09
"165",4.71544758795517e-09,4.97776930785676e-09
"166",4.71522021427973e-09,4.9684971692443e-09
"167",4.71493599718542e-09,4.96475083267001e-09
"168",4.71470862350998e-09,4.96709251507355e-09
"169",4.71442440641567e-09,4.95730478888845e-09
"170",4.71414018932137e-09,4.95154495183669e-09
"171",4.71385597222707e-09,5.01673103059375e-09
"172",4.71357175513276e-09,5.00666264002803e-09
"173",4.71328753803846e-09,4.98385688274539e-09
"174",4.71294647752529e-09,4.98783769842248e-09
"175",4.71266226043099e-09,4.99247354568411e-09
"176",4.71232119991782e-09,4.9765986886996e-09
"177",4.71203698282352e-09,4.95861662841435e-09
"178",4.71169592231035e-09,5.0444066701516e-09
"179",4.71135486179719e-09,5.04154984426464e-09
"180",4.71101380128403e-09,4.99074070958727e-09
"181",4.71067274077086e-09,4.99490848682171e-09
"182",4.7103316802577e-09,4.93487384289892e-09
"183",4.70999061974453e-09,4.88270668341784e-09
"184",4.70964955923137e-09,4.89399276659697e-09
"185",4.7093084987182e-09,4.92377605354477e-09
"186",4.70891059478618e-09,4.90649565421108e-09
"187",4.70856953427301e-09,4.95271557099386e-09
"188",4.70822847375985e-09,4.95889729279497e-09
"189",4.70783056982782e-09,4.9184842865202e-09
"190",4.70748950931466e-09,4.9527626444501e-09
"191",4.70714844880149e-09,4.935202024825e-09
"192",4.70675054486946e-09,4.95936536282215e-09
"193",4.7064094843563e-09,4.96531260552047e-09
"194",4.70606842384313e-09,4.90949325637757e-09
"195",4.70572736332997e-09,4.91960783222112e-09
"196",4.70532945939794e-09,4.92251128747512e-09
"197",4.70498839888478e-09,4.93440577287174e-09
"198",4.70464733837161e-09,4.95023400048922e-09
"199",4.70430627785845e-09,4.92087259829077e-09
"200",4.70396521734529e-09,4.94601959388774e-09
"201",4.70362415683212e-09,5.00254149216062e-09
"202",4.70328309631896e-09,4.99547070376138e-09
"203",4.70294203580579e-09,4.93501461917845e-09
"204",4.70260097529263e-09,4.89352469656978e-09
"205",4.70225991477946e-09,4.89347762311354e-09
"206",4.70197569768516e-09,4.95290297664042e-09
"207",4.70163463717199e-09,5.01780750283842e-09
"208",4.70135042007769e-09,4.96634289248732e-09
"209",4.70100935956452e-09,4.91810947522708e-09
"210",4.70072514247022e-09,4.89848828166828e-09
"211",4.70038408195705e-09,4.91436313865279e-09
"212",4.70009986486275e-09,4.92447815858554e-09
"213",4.69981564776845e-09,4.85891771262459e-09
"214",4.69953143067414e-09,4.84426054825349e-09
"215",4.69924721357984e-09,4.87722795483592e-09
"216",4.69890615306667e-09,4.90598051072766e-09
"217",4.69867877939123e-09,4.93337548590489e-09
"218",4.69839456229693e-09,4.97762897566645e-09
"219",4.69811034520262e-09,4.95922503063184e-09
"220",4.69782612810832e-09,4.91380092171312e-09
"221",4.69754191101401e-09,4.92134066831795e-09
"222",4.69731453733857e-09,4.87980367225305e-09
"223",4.69703032024427e-09,4.88546980648152e-09
"224",4.69674610314996e-09,4.94152363472722e-09
"225",4.69651872947452e-09,4.97973573487798e-09
"226",4.69623451238022e-09,4.96826313423071e-09
"227",4.69600713870477e-09,4.92658536188628e-09
"228",4.69572292161047e-09,4.94864149658270e-09
"229",4.69549554793502e-09,4.98942931415058e-09
"230",4.69521133084072e-09,4.99069408022024e-09
"231",4.69498395716528e-09,4.95533836186723e-09
"232",4.69469974007097e-09,4.94644059045868e-09
"233",4.69447236639553e-09,4.90902474226118e-09
"234",4.69418814930123e-09,4.92358864789821e-09
"235",4.69396077562578e-09,4.92813079233656e-09
"236",4.69367655853148e-09,4.90865037505728e-09
"237",4.69344918485604e-09,4.91033613769787e-09
"238",4.69316496776173e-09,4.89314988527667e-09
"239",4.69288075066743e-09,4.89352469656978e-09
"240",4.69259653357312e-09,4.90879070724759e-09
"241",4.69231231647882e-09,4.91937379720753e-09
"242",4.69202809938452e-09,4.91853091588723e-09
"243",4.69174388229021e-09,4.8960999698977e-09
"244",4.69145966519591e-09,4.90546581133344e-09
"245",4.6911754481016e-09,4.91389506862561e-09
"246",4.6908912310073e-09,4.88724927194539e-09
"247",4.69055017049413e-09,4.92246421401887e-09
"248",4.69026595339983e-09,4.91693885606992e-09
"249",4.68992489288667e-09,4.95767960018156e-09
"250",4.6895838323735e-09,5.02455144157921e-09
"251",4.68924277186034e-09,4.98657293235283e-09
"252",4.68890171134717e-09,4.92546181618536e-09
"253",4.68856065083401e-09,4.96358021351284e-09
"254",4.68821959032084e-09,5.00680297221834e-09
"255",4.68782168638882e-09,5.02398922463954e-09
"256",4.68742378245679e-09,4.98961671979714e-09
"257",4.68702587852476e-09,4.94250729232704e-09
"258",4.68662797459274e-09,4.94475482781809e-09
"259",4.68623007066071e-09,4.89956519800216e-09
"260",4.68577532330983e-09,4.91679852387961e-09
"261",4.68532057595894e-09,4.94550445040431e-09
