"","zSensr","defl"
"102",-4.62688340974182e-08,1.89843696318803e-11
"103",-4.62685498803239e-08,1.19946719223663e-10
"104",-4.62683225066485e-08,4.54893900325715e-11
"105",-4.62680382895542e-08,-1.74953385112531e-11
"106",-4.62677540724599e-08,1.23177912314532e-10
"107",-4.62675266987844e-08,8.11728462224437e-11
"108",-4.62672424816901e-08,3.48387985127374e-12
"109",-4.62670151080147e-08,-1.65333524648759e-10
"110",-4.62667877343392e-08,-2.65547139832734e-10
"111",-4.62665035172449e-08,-1.70625291673332e-10
"112",-4.62662761435695e-08,-1.49786405501118e-10
"113",-4.6266048769894e-08,-7.94253551816837e-12
"114",-4.62658213962186e-08,4.33817426426231e-11
"115",-4.62655940225432e-08,-6.59161614180448e-11
"116",-4.62654234922866e-08,-1.81629822293417e-10
"117",-4.62651961186111e-08,-2.19186446770436e-10
"118",-4.62650255883545e-08,-3.91771060037627e-11
"119",-4.6264855058098e-08,3.57487373037202e-11
"120",-4.62646845278414e-08,5.83204595727693e-11
"121",-4.62645139975848e-08,1.26502808228679e-10
"122",-4.62643434673282e-08,1.35634614650826e-10
"123",-4.62641729370716e-08,1.37039268821582e-10
"124",-4.62640592502339e-08,7.52722328911659e-11
"125",-4.62639455633962e-08,1.84383175394487e-10
"126",-4.62638318765585e-08,2.14494200179161e-10
"127",-4.62637181897207e-08,8.95550300583636e-11
"128",-4.6263604502883e-08,3.72941677539984e-11
"129",-4.62635476594642e-08,-1.77293735248440e-11
"130",-4.62634339726264e-08,-1.05158548535655e-10
"131",-4.62633771292076e-08,-1.8490808884053e-10
"132",-4.62633202857887e-08,-9.2187146805145e-11
"133",-4.62632634423699e-08,-1.12791997963768e-10
"134",-4.6263206598951e-08,-1.4187229169238e-10
"135",-4.62631497555321e-08,4.71280792169182e-11
"136",-4.62631497555321e-08,1.20087495503185e-10
"137",-4.62630929121133e-08,4.75028905100316e-11
"138",-4.62630929121133e-08,-3.41664474490244e-11
"139",-4.62630360686944e-08,-1.91089366552433e-10
"140",-4.62630360686944e-08,-2.74023026491932e-10
"141",-4.62630360686944e-08,-2.52153853352866e-10
"142",-4.62630360686944e-08,-1.78070891365678e-10
"143",-4.62630360686944e-08,-1.79944059652826e-10
"144",-4.62629792252756e-08,-3.76156439330089e-10
"145",-4.62629792252756e-08,-3.99430710729121e-10
"146",-4.62629792252756e-08,-1.51753276611544e-10
"147",-4.62629792252756e-08,1.68227209940142e-10
"148",-4.62629792252756e-08,2.60994781342561e-10
"149",-4.62629792252756e-08,7.23687776371662e-11
"150",-4.62629792252756e-08,-1.39156242084937e-10
"151",-4.62629792252756e-08,-2.51217269209292e-10
"152",-4.62629223818567e-08,-2.00361505164892e-10
"153",-4.62629223818567e-08,-2.63346233708717e-10
"154",-4.62629223818567e-08,-4.36143565707425e-10
"155",-4.62628655384378e-08,-4.75573358471593e-10
"156",-4.62628655384378e-08,-3.63840513273317e-10
"157",-4.6262808695019e-08,-6.25912655038974e-11
"158",-4.62627518516001e-08,1.09644737733561e-10
"159",-4.62627518516001e-08,1.09785069923873e-10
"160",-4.62626950081813e-08,1.91454407882929e-10
"161",-4.62626381647624e-08,1.65511160332699e-10
"162",-4.62625813213435e-08,1.35915279031451e-10
"163",-4.62625244779247e-08,2.21424656388081e-10
"164",-4.62624676345058e-08,1.69632308200107e-10
"165",-4.62624107910869e-08,1.48278278544467e-10
